Angle,Intensity
5.010866440,3087.0
5.032599320,3044.0
5.054332200,3037.0
5.076065080,2941.0
5.097797960,2914.0
5.119530840,3025.0
5.141263720,2963.0
5.162996600,2801.0
5.184729480,2912.0
5.206462360,2960.0
5.228195240,2879.0
5.249928120,2819.0
5.271661000,2848.0
5.293393880,2689.0
5.315126760,2787.0
5.336859640,2790.0
5.358592520,2762.0
5.380325400,2817.0
5.402058280,2726.0
5.423791160,2817.0
5.445524040,2697.0
5.467256920,2726.0
5.488989800,2746.0
5.510722680,2653.0
5.532455560,2617.0
5.554188440,2660.0
5.575921320,2578.0
5.597654200,2595.0
5.619387080,2554.0
5.641119960,2497.0
5.662852840,2479.0
5.684585720,2425.0
5.706318600,2577.0
5.728051480,2521.0
5.749784360,2494.0
5.771517240,2423.0
5.793250120,2517.0
5.814983000,2537.0
5.836715880,2457.0
5.858448760,2455.0
5.880181640,2387.0
5.901914520,2445.0
5.923647400,2435.0
5.945380280,2459.0
5.967113160,2352.0
5.988846040,2421.0
6.010578920,2338.0
6.032311800,2272.0
6.054044680,2436.0
6.075777560,2306.0
6.097510440,2345.0
6.119243320,2395.0
6.140976200,2289.0
6.162709080,2386.0
6.184441960,2335.0
6.206174840,2168.0
6.227907720,2298.0
6.249640600,2171.0
6.271373480,2174.0
6.293106360,2312.0
6.314839240,2322.0
6.336572120,2248.0
6.358305000,2217.0
6.380037880,2243.0
6.401770760,2356.0
6.423503640,2171.0
6.445236520,2227.0
6.466969400,2171.0
6.488702280,2181.0
6.510435160,2151.0
6.532168040,2264.0
6.553900920,2163.0
6.575633800,2118.0
6.597366680,2211.0
6.619099560,2094.0
6.640832440,2140.0
6.662565320,2206.0
6.684298200,2157.0
6.706031080,2169.0
6.727763960,2169.0
6.749496840,2183.0
6.771229720,2142.0
6.792962600,2115.0
6.814695480,2182.0
6.836428360,2052.0
6.858161240,2054.0
6.879894120,2106.0
6.901627000,2134.0
6.923359880,2095.0
6.945092760,2017.0
6.966825640,2069.0
6.988558520,2082.0
7.010291400,2046.0
7.032024280,2077.0
7.053757160,2009.0
7.075490040,2036.0
7.097222920,2014.0
7.118955800,2022.0
7.140688680,2014.0
7.162421560,2001.0
7.184154440,1989.0
7.205887320,1953.0
7.227620200,1979.0
7.249353080,2029.0
7.271085960,1967.0
7.292818840,1993.0
7.314551720,2081.0
7.336284600,2032.0
7.358017480,1959.0
7.379750360,2041.0
7.401483240,2027.0
7.423216120,2042.0
7.444949000,1995.0
7.466681880,2029.0
7.488414760,1970.0
7.510147640,1896.0
7.531880520,1994.0
7.553613400,2009.0
7.575346280,1941.0
7.597079160,1957.0
7.618812040,1928.0
7.640544920,1966.0
7.662277800,1893.0
7.684010680,1939.0
7.705743560,1874.0
7.727476440,1907.0
7.749209320,1957.0
7.770942200,1930.0
7.792675080,1855.0
7.814407960,1814.0
7.836140840,1939.0
7.857873720,1798.0
7.879606600,1932.0
7.901339480,1900.0
7.923072360,1830.0
7.944805240,1934.0
7.966538120,1944.0
7.988271000,1870.0
8.010003880,1951.0
8.031736760,1890.0
8.053469640,1889.0
8.075202520,1920.0
8.096935400,1898.0
8.118668280,1909.0
8.140401160,1852.0
8.162134040,1849.0
8.183866920,1957.0
8.205599800,1854.0
8.227332680,1868.0
8.249065560,1870.0
8.270798440,1857.0
8.292531320,1837.0
8.314264200,1859.0
8.335997080,1785.0
8.357729960,1877.0
8.379462840,1824.0
8.401195720,1857.0
8.422928600,1823.0
8.444661480,1772.0
8.466394360,1848.0
8.488127240,1808.0
8.509860120,1813.0
8.531593000,1771.0
8.553325880,1758.0
8.575058760,1835.0
8.596791640,1823.0
8.618524520,1792.0
8.640257400,1717.0
8.661990280,1766.0
8.683723160,1783.0
8.705456040,1797.0
8.727188920,1715.0
8.748921800,1807.0
8.770654680,1821.0
8.792387560,1816.0
8.814120440,1765.0
8.835853320,1792.0
8.857586200,1781.0
8.879319080,1733.0
8.901051960,1739.0
8.922784840,1743.0
8.944517720,1769.0
8.966250600,1680.0
8.987983480,1694.0
9.009716360,1741.0
9.031449240,1744.0
9.053182120,1738.0
9.074915000,1720.0
9.096647880,1802.0
9.118380760,1743.0
9.140113640,1789.0
9.161846520,1724.0
9.183579400,1731.0
9.205312280,1716.0
9.227045160,1708.0
9.248778040,1701.0
9.270510920,1740.0
9.292243800,1695.0
9.313976680,1680.0
9.335709560,1736.0
9.357442440,1656.0
9.379175320,1698.0
9.400908200,1697.0
9.422641080,1585.0
9.444373960,1718.0
9.466106840,1690.0
9.487839720,1743.0
9.509572600,1657.0
9.531305480,1711.0
9.553038360,1704.0
9.574771240,1687.0
