Angle,Intensity
5.010866440,3982.0
5.032599320,3998.0
5.054332200,3822.0
5.076065080,3866.0
5.097797960,3845.0
5.119530840,3793.0
5.141263720,3669.0
5.162996600,3668.0
5.184729480,3426.0
5.206462360,3595.0
5.228195240,3526.0
5.249928120,3403.0
5.271661000,3426.0
5.293393880,3350.0
5.315126760,3429.0
5.336859640,3228.0
5.358592520,3238.0
5.380325400,3215.0
5.402058280,3217.0
5.423791160,3249.0
5.445524040,3140.0
5.467256920,3151.0
5.488989800,3133.0
5.510722680,3048.0
5.532455560,2991.0
5.554188440,3051.0
5.575921320,3001.0
5.597654200,2985.0
5.619387080,2962.0
5.641119960,2948.0
5.662852840,2770.0
5.684585720,2921.0
5.706318600,2820.0
5.728051480,2826.0
5.749784360,2830.0
5.771517240,2860.0
5.793250120,2686.0
5.814983000,2728.0
5.836715880,2719.0
5.858448760,2752.0
5.880181640,2611.0
5.901914520,2654.0
5.923647400,2586.0
5.945380280,2628.0
5.967113160,2654.0
5.988846040,2549.0
6.010578920,2582.0
6.032311800,2575.0
6.054044680,2560.0
6.075777560,2483.0
6.097510440,2406.0
6.119243320,2575.0
6.140976200,2542.0
6.162709080,2566.0
6.184441960,2396.0
6.206174840,2461.0
6.227907720,2486.0
6.249640600,2484.0
6.271373480,2445.0
6.293106360,2444.0
6.314839240,2342.0
6.336572120,2337.0
6.358305000,2334.0
6.380037880,2373.0
6.401770760,2318.0
6.423503640,2444.0
6.445236520,2354.0
6.466969400,2392.0
6.488702280,2318.0
6.510435160,2360.0
6.532168040,2356.0
6.553900920,2284.0
6.575633800,2352.0
6.597366680,2275.0
6.619099560,2222.0
6.640832440,2294.0
6.662565320,2273.0
6.684298200,2109.0
6.706031080,2223.0
6.727763960,2210.0
6.749496840,2173.0
6.771229720,2241.0
6.792962600,2183.0
6.814695480,2141.0
6.836428360,2220.0
6.858161240,2182.0
6.879894120,2146.0
6.901627000,2166.0
6.923359880,2115.0
6.945092760,2105.0
6.966825640,2225.0
6.988558520,2020.0
7.010291400,2119.0
7.032024280,2105.0
7.053757160,2043.0
7.075490040,2009.0
7.097222920,2110.0
7.118955800,2100.0
7.140688680,2112.0
7.162421560,1982.0
7.184154440,1997.0
7.205887320,1998.0
7.227620200,2042.0
7.249353080,1967.0
7.271085960,1966.0
7.292818840,2066.0
7.314551720,1976.0
7.336284600,1999.0
7.358017480,1964.0
7.379750360,1935.0
7.401483240,1898.0
7.423216120,1867.0
7.444949000,1901.0
7.466681880,2081.0
7.488414760,1910.0
7.510147640,1929.0
7.531880520,1967.0
7.553613400,1955.0
7.575346280,1986.0
7.597079160,1848.0
7.618812040,1889.0
7.640544920,1920.0
7.662277800,1951.0
7.684010680,1937.0
7.705743560,1878.0
7.727476440,1852.0
7.749209320,1855.0
7.770942200,1861.0
7.792675080,1809.0
7.814407960,1918.0
7.836140840,1839.0
7.857873720,1913.0
7.879606600,1870.0
7.901339480,1834.0
7.923072360,1763.0
7.944805240,1873.0
7.966538120,1888.0
7.988271000,1876.0
8.010003880,1876.0
8.031736760,1842.0
8.053469640,1748.0
8.075202520,1766.0
8.096935400,1961.0
8.118668280,1820.0
8.140401160,1754.0
8.162134040,1719.0
8.183866920,1742.0
8.205599800,1713.0
8.227332680,1728.0
8.249065560,1838.0
8.270798440,1763.0
8.292531320,1775.0
8.314264200,1830.0
8.335997080,1805.0
8.357729960,1756.0
8.379462840,1765.0
8.401195720,1654.0
8.422928600,1827.0
8.444661480,1775.0
8.466394360,1663.0
8.488127240,1694.0
8.509860120,1724.0
8.531593000,1736.0
8.553325880,1694.0
8.575058760,1736.0
8.596791640,1758.0
8.618524520,1730.0
8.640257400,1648.0
8.661990280,1778.0
8.683723160,1779.0
8.705456040,1725.0
